run,condition,final_mean_belonging,final_std_belonging,final_mean_collective_reputation,mean_helping_rate,mean_reciprocal_support_rate,mean_volunteer_retention,mean_withdrawal_rate,mean_collective_avoidance_rate,mean_signal_extraction_consistency,community_breakdown
6,full_llm_mediated_model,0.04130641749199775,0.049069569833945295,0.18031118627891776,0.26073657464938255,0.3182114507409702,0.504,0.1588611914401388,0.5869384161254634,0.9538137942495528,1
7,full_llm_mediated_model,0.05123530059046862,0.0703524705042193,0.18089577149477795,0.2600780337939781,0.31099483016410256,0.5160000000000001,0.18821558008554912,0.5802256216214237,0.9380808177603843,1
8,full_llm_mediated_model,0.0474204695090811,0.06633058600556577,0.14940584518870342,0.21902668100733116,0.27306163694406727,0.5246666666666667,0.19369702304919023,0.5981366581510232,0.9394422636187343,1
9,full_llm_mediated_model,0.06693753743664094,0.08766802079890959,0.15517991664495817,0.23045949812291172,0.2865801467444926,0.5506666666666667,0.19705205905205905,0.6265467869304214,0.9392408248225653,1
10,full_llm_mediated_model,0.06082043668585573,0.08550168282725247,0.19380625512971494,0.2649429575599315,0.32107529799062307,0.55,0.1394804794448757,0.584373929931442,0.9520811867310386,1
11,full_llm_mediated_model,0.06009425207661881,0.06725845784831332,0.2036172297986844,0.30466626622431575,0.3543805917079137,0.5826666666666668,0.14478279168372046,0.5634347866727729,0.9381887312893504,1
12,full_llm_mediated_model,0.046059495525902716,0.06526480943615513,0.1619571373969345,0.2469080012694564,0.30110231095873513,0.47866666666666674,0.17417910357616237,0.635278340875574,0.9484218857338053,1
13,full_llm_mediated_model,0.026234473540381813,0.05494072181616533,0.11666143050730177,0.1915007087168078,0.23773328841780855,0.49333333333333335,0.2411395919182297,0.5298300101265303,0.941899125470333,1
14,full_llm_mediated_model,0.04395515686327294,0.0791051579230356,0.15191314460744954,0.2629646384560236,0.3087899740706266,0.542,0.18521511572362967,0.5834618883263324,0.935608499511138,1
15,full_llm_mediated_model,0.020650943225000003,0.03987228792597978,0.15349324729487243,0.2177850469963473,0.2686588904516536,0.47200000000000003,0.2024291019438078,0.6254299979429885,0.9303353664739114,1
16,full_llm_mediated_model,0.0804921988760981,0.11039870877353497,0.19791779723430417,0.2776950465890431,0.34546359360939394,0.5720000000000001,0.16328301669091144,0.6169422862781291,0.9428477943662353,1
17,full_llm_mediated_model,0.06227764166960677,0.07685345603702537,0.1700650563584251,0.26936000607056604,0.32458892348845575,0.5506666666666667,0.13835748762761146,0.6227110073902221,0.9467608628938554,1
18,full_llm_mediated_model,0.026006972498101563,0.04214014854232047,0.14619772768805525,0.19399325399029263,0.2515286414104509,0.446,0.2398361064721611,0.6282126451356747,0.9258998292168638,1
