run,condition,final_mean_belonging,final_std_belonging,final_mean_collective_reputation,mean_helping_rate,mean_reciprocal_support_rate,mean_volunteer_retention,mean_withdrawal_rate,mean_collective_avoidance_rate,mean_signal_extraction_consistency,community_breakdown,parameter,value,seed
10,full_structured_model,0.8114124441932218,0.1789810834091504,0.5037509831323012,0.5432091431202819,0.5996535903580323,1.0,0.0,0.7170079365079366,,0,lambda_b,0.05,20260731
11,full_structured_model,0.820493822664199,0.1809405290311318,0.49695789382753935,0.5400968667877885,0.5941397630844572,1.0,0.0,0.7462360972360973,,0,lambda_b,0.05,20260732
12,full_structured_model,0.7313879724879446,0.19278389144794675,0.4121064822042188,0.495766508390031,0.5489769483098875,1.0,0.0,0.6566544289044289,,0,lambda_b,0.05,20260733
13,full_structured_model,0.6583126449249418,0.21045591660395926,0.36708526745582704,0.424390364288648,0.4745979109810861,1.0,0.0,0.6521181661475779,,0,lambda_b,0.05,20260734
14,full_structured_model,0.8168660020694717,0.15046116306006793,0.45613853270440485,0.5386857797532182,0.5955386383963475,1.0,0.0,0.6917994227994229,,0,lambda_b,0.05,20260735
15,full_structured_model,0.7038716939507579,0.21564439397673252,0.4201536688005522,0.4801859927265567,0.5266680035882216,1.0,0.0,0.7020837838631955,,0,lambda_b,0.05,20260736
16,full_structured_model,0.8713514813569919,0.1522588658825007,0.5155350567585775,0.5829404969836655,0.6379468801159921,1.0,0.0,0.7701746031746031,,0,lambda_b,0.05,20260737
17,full_structured_model,0.7598733717489284,0.18052296674510881,0.4896389899155549,0.5000939457789236,0.5573522583655159,1.0,0.0,0.7959274059274059,,0,lambda_b,0.05,20260738
18,full_structured_model,0.8334770342492059,0.16394465139213552,0.48487464560892396,0.5487165094142682,0.6077906595761118,1.0,0.0,0.7175555555555556,,0,lambda_b,0.05,20260739
19,full_structured_model,0.679259266153,0.1688988703996872,0.38361178261246903,0.4391063977616138,0.49902245240804866,1.0,0.0,0.705419174049205,,0,lambda_b,0.05,20260740
20,full_structured_model,0.7302236121124502,0.22840131537644626,0.41140079293640397,0.48218908470171085,0.5344302516950801,1.0,0.0,0.6544422244422244,,0,lambda_b,0.05,20260741
21,full_structured_model,0.7666594217810938,0.18955062037679338,0.46078496922908624,0.4918316521196855,0.5534075566561385,1.0,0.0,0.7323255633255633,,0,lambda_b,0.05,20260742
22,full_structured_model,0.6774873009763307,0.2064947769781168,0.397553953956303,0.4487132427057048,0.503868461631273,1.0,0.0,0.6052958368600784,,0,lambda_b,0.05,20260743
23,full_structured_model,0.8412867631647635,0.13893945585045003,0.49614385203737127,0.5707698559744797,0.6197108237097253,1.0,0.0,0.7653809523809524,,0,lambda_b,0.05,20260744
